company,date,open,high,low,close,volume
GOOG,2022-10-28,92.53,96.86,92.3225,96.58,35696925
GOOG,2022-10-27,94.31,95.17,91.9,92.6,54036485
GOOG,2022-10-26,96.76,98.54,94.57,94.82,71671814
GOOG,2022-10-25,103.3,105.0999,103.02,104.93,29910170
GOOG,2022-10-24,102.09,103.1,100.3,102.97,24680831
GOOG,2022-10-21,98.46,101.62,98.23,101.48,28988727
GOOG,2022-10-20,100.82,103,99.97,100.53,25125082
GOOG,2022-10-19,100.7,101.6592,99.635,100.29,21573686
GOOG,2022-10-18,103.94,104.22,100.65,101.39,21610541
GOOG,2022-10-18,103.94,104.22,100.65,101.39,21610541
GOOG,2022-10-17,99.52,101.77,99.51,100.78,23311604
IBM,2022-10-28,135.56,138.8615,135.22,138.51,5965457
IBM,2022-10-27,135.55,136.4,134.445,134.77,3993168
IBM,2022-10-26,133.72,135.863,132.81,135.01,5140023
IBM,2022-10-25,132,133.3,131.3,132.93,5957623
IBM,2022-10-24,130.9,133.11,129.85,132.69,5610914
IBM,2022-10-21,128.39,130.845,127.59,129.9,7201256
IBM,2022-10-20,126.25,128.96,125.15,128.3,13623115
IBM,2022-10-19,122.36,123.94,121.9875,122.51,5906576
IBM,2022-10-18,123,123.94,121.82,122.94,5120336
IBM,2022-10-17,121.8,122.875,121.43,121.52,5458585
TSCO.LON,2022-10-28,212.9,214.4,212.7,212.7,11541150
TSCO.LON,2022-10-27,211.8,215.628,210.6,212.8,12229570
TSCO.LON,2022-10-26,211.3,213.1,209,212.2,14668770
TSCO.LON,2022-10-25,210.4,219.9,208.4,211,18374350
TSCO.LON,2022-10-24,210.5,213.7,208.1,210.8,13358070
TSCO.LON,2022-10-21,206.3,211.1,205.8,209.2,15487850
TSCO.LON,2022-10-20,203.6,208.7,202.9,207.4,25061350
TSCO.LON,2022-10-19,205,205.5,202.476,205,10079510
TSCO.LON,2022-10-18,206.4,207.8,203.1,204.6,20613760
TSCO.LON,2022-10-17,202.7,206.8,202.4,205.7,24254961